2.233882938237128801e+00,-0.000000000000000000e+00,-1.920001637385938265e-01,0.000000000000000000e+00,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.1,8.499321531216940881e-03,0.000000000000000000e+00.3,-3.725091856250948852e-01,-3.759403713949142634e-01,-0.000000000000000000e+00.2,0.000000000000000000e+00.4,-0.000000000000000000e+00.3,0.000000000000000000e+00.5,-4.980675654757077409e-01,-1.535104815615333414e-02,0.000000000000000000e+00.6,-0.000000000000000000e+00.4,0.000000000000000000e+00.7,-0.000000000000000000e+00.5,0.000000000000000000e+00.8,-0.000000000000000000e+00.6,-0.000000000000000000e+00.7,-0.000000000000000000e+00.8,-7.040441294250840421e-03,8.586839946707265636e-02,4.900215543284796443e-02,7.166724306942814926e-02,0.000000000000000000e+00.9,-0.000000000000000000e+00.9,0.000000000000000000e+00.10,3.783288025020340936e-03,0.000000000000000000e+00.11,1.135400982796476582e-01,0.000000000000000000e+00.12,1.886266897579861601e-01,0.000000000000000000e+00.13,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,1.443752493093357347e-01,-0.000000000000000000e+00.13,-1.443483106234626778e-01,0.000000000000000000e+00.14,0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,-0.000000000000000000e+00.14,-0.000000000000000000e+00.15,0.000000000000000000e+00.18,0.000000000000000000e+00.19,0.000000000000000000e+00.20,6.438015426458214285e-02,1.066284872188229121e-01,-0.000000000000000000e+00.16,0.000000000000000000e+00.21,0.000000000000000000e+00.22,9.862735172034851894e-02,2.224824090955034028e-01,0.000000000000000000e+00.23,0.000000000000000000e+00.24,-0.000000000000000000e+00.17,-1.150190109934921823e-01,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,-0.000000000000000000e+00.20,0.000000000000000000e+00.25,0.000000000000000000e+00.26,0.000000000000000000e+00.27,-0.000000000000000000e+00.21,0.000000000000000000e+00.28,-1.492865581270245469e-02,0.000000000000000000e+00.29,0.000000000000000000e+00.30,7.406996032246071504e-02,0.000000000000000000e+00.31,-0.000000000000000000e+00.22,-2.065895910854048667e-01,-0.000000000000000000e+00.23,0.000000000000000000e+00.32,0.000000000000000000e+00.33,1.039010527440468873e-01,0.000000000000000000e+00.34,1.314259308478397253e-02,-5.237996537204567954e-02,-6.895678095429959298e-02,0.000000000000000000e+00.35,0.000000000000000000e+00.36,-0.000000000000000000e+00.24,0.000000000000000000e+00.37,0.000000000000000000e+00.38,0.000000000000000000e+00.39,0.000000000000000000e+00.40,0.000000000000000000e+00.41,-0.000000000000000000e+00.25,1.306306888591135529e-01,-7.973565808513803643e-02,-0.000000000000000000e+00.26,0.000000000000000000e+00.42
-0.0,-0.13966083520207162,-0.414217509200602,-0.0,-0.0,-0.0,-0.09366035275471989,-0.0,0.0,-0.3002633249292948,-0.8566432654276187,4.313136691086477,-0.0,0.0,0.0,-0.08188578854804622,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.554878613879513,-1.2199636823795554,0.0,0.0,0.0,0.0,0.06915039164734854,-0.0,0.0,0.03637930875472486,0.33149151010172995,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.012649775407193496,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.013421960038757168,0.0,-0.0,-0.0,0.0,0.0,0.0,0.025667312035022465,0.0,0.03992170779358319,0.0,0.0,-0.6222981895607961,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.16453674430739063,0.0
0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.28156272369940094,-0.0,1.87066567045304,0.0,-0.0,-0.0,-0.5274515700246537,-0.0,-0.0,-0.0,-0.0,-0.30482484351973366,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.018899452288500512,-0.0,-0.181250307393748,0.1785071191144285,-0.0,0.0,-0.11169760511553646,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.07493709644825003,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.1909610698531052,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.008087296182320874,0.0,0.0,0.35436568248277606,0.11650722994788495,-0.0819193959483583,0.0,0.1242857775995544,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.10016202547310232,-0.0,-0.21554366686450435,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0
-0.0,0.03005371778667097,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,3.286213602458657,-0.9417291333317632,-0.0,-0.16909062789142765,-0.0,-0.45508860058776096,-0.0,-0.850851028401279,-0.144239192419197,-0.320154363244702,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.01604900423864679,-0.3336499254947224,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.43434555065577934,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.22227225079784363,-0.0,-0.0,-0.0,0.0,0.09673695585769249,-0.0,-0.0,0.010151137882796176,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1660554528920427,0.10042900995047296,0.0,0.0,-0.0,-0.0,0.0,-0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.9417291333317632,4.236698726939502,0.0,-0.13400536600432503,-0.0,-0.0,-0.0,-0.6302690771588305,-0.0,-0.0,0.0,0.0,0.0009247703651041701,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.03278089316853546,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031091943754444767,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.3765976895410393,-0.0,-0.0,-0.384926150998314,0.0,-0.7670363500273866,-0.6486801034145178,-0.0,-0.0,0.0,-0.0,0.0,-0.05923235034065184,-0.0,-0.2291446600652081,-0.0,0.0,0.04221807156085156,-0.5637664216396674,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0
-0.4980675654757077,-0.5322792154196424,-0.0,-0.3309595926090519,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.08188578854804622,-0.0,-0.0,0.0,2.5541096722189636,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.02810797495525529,-0.01745938373778795,-0.0,-0.0,0.018684658579736592,0.0,0.07200660049087702,-0.0,0.0,-0.0,-0.1578536825772274,-0.0,-0.0,0.0,0.0,-0.0,-0.17100552344159345,-0.4302211173001128,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.1374203312559253,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.03064286959340639,0.0,0.0,-0.0,-0.0,-0.0,-0.05211177778985419,-0.0,0.0,0.0,-0.2672075957305826,-0.06696517882677847,-0.0,-0.0,0.0,0.0,0.026782111455531693,0.12948303536691552,0.0,-0.12580033079419278,-0.18539918497588004,0.0,-0.0,0.0,0.07180104643328161,0.07887917678438601,-0.0890984765167305,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0
-0.015351048156153334,0.0,-0.0,0.0,0.16818982436065988,0.0,0.0,0.043581076755099854,-0.0,0.0,-0.0,0.0,-0.5274515700246537,-0.16909062789142765,-0.13400536600432503,0.0,2.193123525726131,0.0,-0.41040917173720026,0.0,-0.0,-0.0,0.0,-0.576800521370296,0.35255617823108204,0.0,0.0,0.023105173042083926,0.0,0.0,-0.08068186382696635,0.16316389273971088,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.05457035932699534,-0.0,-0.0,0.0,0.0,0.17911392741228954,0.0,-0.17110497053638513,0.0,0.0,0.0,-0.0,0.0,0.0,-0.07652113400351562,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0015517140322816691,0.0,-0.0,0.0,0.045453687047140034,0.0,0.0,-0.0,-0.0,0.17028127713010036,0.0,0.0,-0.0,-0.015721583166550583,-0.5156840577133822,0.0,0.0,0.0,0.2437367450449777,-0.0,-0.0,-0.0
0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.28085022647764296,-0.2696430120730941,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,3.934890692486405,-0.12737008802277447,-0.0434588734676486,-0.40384023994764895,-0.0,-0.3288886651880768,0.0,-0.0,0.0,0.0,0.0,-0.08428198085630317,-0.0,8.838747742532569e-05,0.0,0.0,-0.8412113049438951,-0.0,-0.580187854124188,-0.0,-0.0,-0.0,0.0,-0.14169138623594915,0.0,0.0,0.08120021350211323,0.0,0.0,-0.4131235392552238,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.18613625803530487,-0.0,-0.08863636149445132,-0.043253011497077165,-0.2685586109710967,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.012290401261226212,0.0,0.0,-0.06986569688956838,0.0,0.13352935194638757,0.19351677112254073,-0.0,0.0,-0.0,-0.0,-0.5870491641054483,0.35899771300199906,0.0,0.13839648425007045,0.0,-0.0,0.013010007650909424,0.0,0.0,-0.0,-0.0
-0.0,0.10730271781853008,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.45508860058776096,-0.0,-0.0,-0.41040917173720026,-0.12737008802277447,2.304706349108979,-0.0,-0.019449508899720795,-0.18607819843084333,-0.0,-0.0,0.0,0.0,-0.0,0.007160117465644223,0.0,0.0,-0.0,0.08372667148138563,0.0,-0.5592896966216965,-0.0,-0.0,0.0,-0.0,-0.0,-0.03447645856067167,-0.31077666659856273,0.3171471677877588,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.2219954554079911,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.13594233991566598,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.018661067808533115,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.22391614016379363,0.0,-0.0,0.2823887015467355,0.027413111097041813,0.14772219256138255,0.0,-0.0,0.0,0.0,-0.0,0.012272261095017228,-0.0,-0.0,0.17928840316969744,0.0,0.0,0.0,0.0,-0.016017613337697134,-0.0
0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0434588734676486,-0.0,3.307758581315509,-0.7833258051836934,-0.11946713589940693,-0.0,0.0,-0.12569198764846765,-0.0,0.0,-0.0,-0.13857146424256053,-0.0,0.0,-0.0,-0.0,-0.0,0.12674268525515456,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.15063003975989228,-0.0,-0.004471314882341121,0.17346720345856415,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.13750161022892607,-0.11256037726010724,-0.04276530538672364,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.3825977237162804,-0.39867696861421686,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.014085074752931723,-0.0,0.01203984307477316,0.0,0.0,-0.16834204361165422,0.0,0.0,-0.0,0.0,-0.0,-0.0,-1.1437032792672004,0.0,0.0,0.0,0.0,0.11624658304740026,0.1843105847892212,0.0,-0.0,-0.054148912900221,0.0,-0.0
-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.850851028401279,-0.6302690771588305,-0.0,-0.0,-0.40384023994764895,-0.019449508899720795,-0.7833258051836934,4.6040787340665945,-0.02156328388692646,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.10519609174511108,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.11247081750227703,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.03402883310679904,0.0,-0.0,-0.8885155604955784,-0.0,-0.0822349295047494,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.9642536797226355,0.15498445911912603,0.15752247383567092,0.0,0.0,-0.0,0.0,-0.0,-0.0706607116106822,0.0,-0.0,0.0,0.0,0.05254217358379544,0.0,0.0,-0.0,0.0,-0.0
