2.239450097824960295e+00,-2.881961708950515622e-01,-6.040988722018923729e-02,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-6.711217756757420494e-02,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,0.000000000000000000e+00.3,-0.000000000000000000e+00.5,-0.000000000000000000e+00.6,-6.820186459145703983e-01,0.000000000000000000e+00.4,2.252005264198599088e-02,-0.000000000000000000e+00.7,6.865474640809393625e-02,0.000000000000000000e+00.5,0.000000000000000000e+00.6,0.000000000000000000e+00.7,0.000000000000000000e+00.8,-3.161471381687123994e-02,-0.000000000000000000e+00.8,1.846826206655392821e-02,0.000000000000000000e+00.9,0.000000000000000000e+00.10,-0.000000000000000000e+00.9,-8.998938087947346010e-02,-2.720156220203731601e-01,-0.000000000000000000e+00.10,-0.000000000000000000e+00.11,-0.000000000000000000e+00.12,0.000000000000000000e+00.11,0.000000000000000000e+00.12,-1.834075246280918170e-01,-0.000000000000000000e+00.13,-0.000000000000000000e+00.14,0.000000000000000000e+00.13,0.000000000000000000e+00.14,-2.670099855148964571e-02,-1.575472180343426634e-02,0.000000000000000000e+00.15,0.000000000000000000e+00.16,0.000000000000000000e+00.17,0.000000000000000000e+00.18,-4.847266756332548748e-02,-0.000000000000000000e+00.15,-3.667415530208962271e-01,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,8.307297833412229104e-02,-0.000000000000000000e+00.18,-0.000000000000000000e+00.19,2.047791058026274535e-01,2.292071664883828241e-02,-1.554071053542931125e-01,-0.000000000000000000e+00.20,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,0.000000000000000000e+00.22,-0.000000000000000000e+00.24,0.000000000000000000e+00.23,0.000000000000000000e+00.24,-0.000000000000000000e+00.25,0.000000000000000000e+00.25,0.000000000000000000e+00.26,-0.000000000000000000e+00.26,1.540881651199585700e-01,2.628477947173979423e-01,1.133294109485017270e-01,0.000000000000000000e+00.27,-3.478609095438648519e-02,-0.000000000000000000e+00.27,0.000000000000000000e+00.28,0.000000000000000000e+00.29,-0.000000000000000000e+00.28,0.000000000000000000e+00.30,0.000000000000000000e+00.31,-0.000000000000000000e+00.29,0.000000000000000000e+00.32,-4.237838056812283372e-02,1.698927212132888762e-02,0.000000000000000000e+00.33,-2.151682032530853259e-02,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,-0.000000000000000000e+00.32,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,0.000000000000000000e+00.34,0.000000000000000000e+00.35,-6.004080799490565945e-03,-0.000000000000000000e+00.35
-0.0,-0.0,-0.0,-0.0,-0.0,-0.031031056640094395,0.05640545972867893,0.0,0.0,-0.23344474540645468,-0.5481595887578072,2.602476821532409,-0.0,-0.1484485083350222,-0.25861968909549304,-0.0,-0.04526789915850014,0.0,0.0,0.0,-0.22147132232827135,0.0,-0.0,-0.21447602140495137,-0.0,-0.5051354970373294,-0.0,-0.10139973755097276,-0.009450978605084861,-0.17901786288433277,0.0,-0.0,-0.3481400637638632,0.018375801484728747,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.3207527263167761,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.15097506089598658,-0.0,-0.0,-0.0,-0.1064323274289573,-0.12335179115890096,0.0,-0.006628095242218511,0.0,0.026469029520512232,-0.0,-0.0,0.0,0.0,-0.2621573510902829,-0.0,-0.0,-0.1390118068428647,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.1123545035554132,-0.019810950167556116,-0.0,0.0,0.0130142448942389,-0.0,-0.0
0.0,-0.0020016504294049944,0.0,-0.03283772964335124,-0.0,-0.0,0.12271983353835413,0.0,-0.0,-0.0,-0.16315566149944144,-0.0,2.5616659580144105,-0.0,-0.0,-0.0,-0.7734560257748185,0.0,-0.0,-0.0,-0.0,-0.31362449266587494,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.20392146111334764,0.0,0.09125589321021328,0.0,-0.0,0.0,-0.1299323832240528,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-1.1666257043921335,-0.0,-0.0,-0.33556628101102715,-0.018842340986679,0.0,0.0,0.0,0.0,-0.0,0.0,0.015239960933713648,0.0,0.0,0.0,0.0,0.09405736000718781,0.0,-0.0,0.009869155396334704,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.02446513542387337,-0.0,-0.0,0.0,0.0,0.0
-0.0,-0.0,-0.0,-0.1447660198871068,-0.0,0.0,0.0,0.0,0.0,-0.07474157314634823,-0.0,-0.1484485083350222,-0.0,2.4718766081611303,-0.07674229948722694,-0.0,-0.537725476961888,0.0,-0.3596135584392048,0.0,-0.0,-0.0,-0.6495683362844351,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.021263816505148685,-0.010819492871422972,0.0,-0.0,0.0,-0.0,-0.0018965965135424384,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.6772694795594958,-0.07328716784474974,-0.0,-0.0,-0.0,0.12545164263970213,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.1799107752398304,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.06288642428785184,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,0.0,-0.0,-0.008958349570099982,0.0,-0.0,-0.0,0.0,-0.0,-0.22244877748267855,-0.25861968909549304,-0.0,-0.07674229948722694,3.547158852950992,-0.0,-0.0,0.0,0.0,0.0,-0.3582447179803264,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.04152247961655225,-0.0,-0.2121510836691712,0.0,0.0,0.0,0.02447846692650713,-0.0,0.0,0.0,0.0,0.03960880775552341,0.0,-0.0,0.0,0.0,-0.2615450348706689,0.0,0.0,0.0,0.0,-0.04884333279732592,-0.0,-0.0,-0.0,-0.0,-0.06834468954196439,-0.0,0.03716924172055914,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-2.33618628827165,0.0,0.0,0.0,0.0,-0.00904469401899716,-0.0,0.0,-0.0,-0.0,0.04940481526794946,0.0,-0.0,0.0,-0.0,0.0,0.0,0.09356315369586296,0.0,0.0,0.0,0.0,-0.07389153746899622,0.0,0.0,0.0,0.09013575746901971,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0
-0.6820186459145704,-0.8709835450751926,-0.0,-0.0,-0.0,-0.0,-0.2928422184337716,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,3.246040101599547,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.1702721812003321,-0.17454473377831184,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.10546856216778984,0.0,0.0,-0.0,0.0,0.0,0.3830934174027639,0.0,0.0,-0.0,0.0,-0.5898057499342012,-0.0,-0.6017041567682033,0.0,-0.0,-0.0,0.0054246732216653454,0.005142663129003294,-0.0,0.0,0.09909152722864761,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0192531519893405,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0649745995556516,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0345387031237638,0.0,-0.0,-0.0,-0.0
0.0,0.0,0.0,-0.0,0.0,-0.0,0.04289282858416777,0.1424753759478332,0.0,0.0,-0.0,-0.04526789915850014,-0.7734560257748185,-0.537725476961888,-0.0,0.0,2.134387984493747,-0.0,-0.520382803295948,-0.005929858147047726,-0.0,0.0,-0.0,-0.2510067359522608,-0.0,0.048999062538492816,0.004085755129701145,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.057670095321710656,-0.0,-0.0,-0.0,-0.0,0.0,-0.054511743062306765,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.06594229264836424,-0.008792504208856012,-0.0,-0.0,-0.032003387005017765,-0.0,0.0,-0.0,0.0783108896506571,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.11597509024088004,0.0,0.0,-0.0,0.0,-0.0,-0.06873757340651973,-0.0,-0.026099510039932126,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.00014872522516635087,-0.0
0.02252005264198599,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.8688913906190124,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,3.853050706824491,-0.0,-0.9006874234637421,-0.0,-0.32455860173714446,-0.0,-0.0,0.0,0.0,-0.0,0.06206587448798297,-0.21402816654266607,0.0,-0.0,-0.0,0.0,-0.3279633842316662,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.03388277409826086,-0.0,0.1098651360590357,0.0,-0.0,-0.0,-0.4046038407044412,0.19971709440950147,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1008069173547536,-0.0,0.0,0.1186560564546066,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.46111377847700175,-1.0680176383951288,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.007841804363524154,0.08748564080970046,0.2055987515682537,-0.0,0.013029284946037556,-0.1893873325693316,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.10101637154373194,-0.0,0.0,-0.0
-0.0,-0.0,-0.0,-0.0,0.0,0.060720247126968406,-0.1833272794473056,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.3596135584392048,0.0,-0.0,-0.520382803295948,-0.0,2.2106697371685,-0.0,0.07766466134556407,-0.0,-0.0,-0.0,0.0,0.08257694363071602,0.050178372958439355,0.0,0.0,0.0,-0.0,-0.010336974756683276,0.0,-0.661055402538108,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.07417526868946236,0.0,0.0,-0.19483041054096384,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.09043100302728668,0.0,0.0,0.032072149991043,-0.0,-0.0,0.1214983927665464,0.06366366991121106,-0.0,-0.532028382759603,-0.0,0.0,-0.0,-0.0,-0.02690675472792073,0.0,0.0,0.0,-0.0,-0.10531956353656748,0.09942897017404202,0.0,0.0,0.1162155155475496,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.04711397647534222,-0.0,0.0,-0.0,0.0,0.0,-0.1689441962254827,-0.0,-0.0
0.06865474640809394,-0.0,0.07383192583798522,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.18064540649741373,0.0,-0.0,0.0,0.0,-0.0,-0.005929858147047726,-0.9006874234637421,-0.0,2.7469555888937607,-0.06977699935679761,0.0,0.0,-0.0,0.0,0.0,-0.1238239578176403,0.01942286691173073,-0.0,0.0,0.0,-0.0,0.0,-0.13175821537486412,-0.0,-0.18413765057039047,-0.0,0.0,0.0,0.015697582450301218,-0.1357732303915631,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.010834596917566308,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.022954481730287087,-0.0,-0.3332991645849839,0.22090664413188305,-0.0,0.0,-0.0,0.0,-0.04906352541542857,0.0,-0.0,-0.0,-0.0,-0.3295535662054612,-0.0,0.0,-0.0,0.038013883089974096,-0.35793489409716406,0.0,-0.5926144349672492,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.07621871033622525
0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.22147132232827135,-0.0,-0.0,-0.3582447179803264,0.0,-0.0,-0.0,0.07766466134556407,-0.06977699935679761,1.9720696871740513,0.03565989848489073,-0.0,-0.0,-0.0,0.0,-0.1856878832710196,-0.04375954433583161,-0.02456049783962416,-0.0,-0.0,0.0,0.0,0.1174803184896911,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.10573726521742643,-0.0,0.0,-0.26040961510878013,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.015104986391946887,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.7507302012617477,0.05019631352899696,-0.0,0.0,-0.0,0.0,-0.0,-0.21253835075058167,0.0,-0.03500466233804383,0.0,0.0,-0.0544942751708861,0.0,0.0,0.025490982394577092,0.0,-0.0,0.0,0.0,-0.0,0.0,0.17303809501773929,-0.0,0.0,-0.0,0.0,0.09844436442124951,0.0,0.0
