2.215919495282764551e+00,0.000000000000000000e+00,-0.000000000000000000e+00,-0.000000000000000000e+00.1,-0.000000000000000000e+00.2,-0.000000000000000000e+00.3,-0.000000000000000000e+00.4,0.000000000000000000e+00.1,0.000000000000000000e+00.2,-0.000000000000000000e+00.5,0.000000000000000000e+00.3,0.000000000000000000e+00.4,0.000000000000000000e+00.5,0.000000000000000000e+00.6,-0.000000000000000000e+00.6,-3.820328244637964943e-01,-0.000000000000000000e+00.7,0.000000000000000000e+00.7,0.000000000000000000e+00.8,-5.107717925801673331e-02,-0.000000000000000000e+00.8,1.516266701109413584e-01,0.000000000000000000e+00.9,-0.000000000000000000e+00.9,-0.000000000000000000e+00.10,1.290213705630351149e-01,-0.000000000000000000e+00.11,0.000000000000000000e+00.10,-0.000000000000000000e+00.12,1.465352538773617153e-01,-0.000000000000000000e+00.13,-3.994978975824359790e-01,-0.000000000000000000e+00.14,0.000000000000000000e+00.11,1.829810242202675741e-02,-0.000000000000000000e+00.15,0.000000000000000000e+00.12,-1.644196380757926845e-01,0.000000000000000000e+00.13,0.000000000000000000e+00.14,-0.000000000000000000e+00.16,-0.000000000000000000e+00.17,1.487592114338366980e-02,-0.000000000000000000e+00.18,0.000000000000000000e+00.15,-0.000000000000000000e+00.19,0.000000000000000000e+00.16,-0.000000000000000000e+00.20,-2.003825568278930214e-01,-1.214262371530515222e-01,-8.191965980129488623e-01,-0.000000000000000000e+00.21,-0.000000000000000000e+00.22,-0.000000000000000000e+00.23,0.000000000000000000e+00.17,-1.444317162322894532e-01,0.000000000000000000e+00.18,2.000043315631369958e-02,2.405461105019658652e-02,0.000000000000000000e+00.19,0.000000000000000000e+00.20,0.000000000000000000e+00.21,0.000000000000000000e+00.22,-0.000000000000000000e+00.24,0.000000000000000000e+00.23,-0.000000000000000000e+00.25,-0.000000000000000000e+00.26,0.000000000000000000e+00.24,1.895258527093769685e-02,0.000000000000000000e+00.25,-0.000000000000000000e+00.27,9.803099940214154984e-02,0.000000000000000000e+00.26,0.000000000000000000e+00.27,-0.000000000000000000e+00.28,0.000000000000000000e+00.28,-0.000000000000000000e+00.29,-0.000000000000000000e+00.30,-0.000000000000000000e+00.31,-1.378145352401778656e-01,-0.000000000000000000e+00.32,1.631093196088514441e-01,0.000000000000000000e+00.29,0.000000000000000000e+00.30,-0.000000000000000000e+00.33,-0.000000000000000000e+00.34,0.000000000000000000e+00.31,0.000000000000000000e+00.32,-0.000000000000000000e+00.35,0.000000000000000000e+00.33,0.000000000000000000e+00.34,-3.588959260518218182e-03,-0.000000000000000000e+00.36,-0.000000000000000000e+00.37,3.727820364068830383e-02,-0.000000000000000000e+00.38,-0.000000000000000000e+00.39,0.000000000000000000e+00.35,-5.958350234929180034e-02,-0.000000000000000000e+00.40
0.0,-0.0,-0.15004999584426307,-0.03764326810987081,-0.0,-0.051169038941106026,-0.0,-0.04546673802225425,-0.0,-0.8179102024620362,-0.8631555429976752,3.762372578315087,-0.0,-0.0,-0.0,-0.0,-0.27088274989508226,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.34397158244105075,-0.0,-0.533764767640637,-0.0,-0.0,-0.08113776430388929,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.2563982076034076,0.0,-0.0,0.0,0.04755753114824961,0.0,-0.0,-0.0,-0.019269249892412,-0.0,-0.0,-0.0,-0.0,-0.0,-0.5728807878079125,0.0,-0.0,-0.07064064582288612,-0.0,-0.07404117485374521,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.07763434957124793,-0.0,-0.0,-0.16746658609958232,-0.08791171553837963,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.15309447069080084,0.13195966389852276,0.0,0.0
0.0,-0.0,-0.0033683902016967224,-0.0,-0.0,-0.0,-0.11139265433385166,-0.0,-0.0,-0.09990800431855422,-0.15272158241381106,-0.0,2.6726704177136895,-0.26465054477138233,-0.0,-0.0,-0.5727687933656376,-0.03030944223506262,-0.0,-0.0,0.0,-0.08611226932309658,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.09075308603621556,-0.03652226216329822,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.14272411961384932,-0.0,-0.0,0.0,-0.15259470793615756,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.052411468312218816,-0.0,-0.0,-0.0,-0.8441030871327805,-0.18035473083310172,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.3307528875398502,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.1410275904380902,-0.0,0.0,0.0,0.12931751285318044,-0.0,0.4131964044912037,0.0,-0.0,0.0,-0.08263695597419912,-0.0,-0.0,-0.0,-0.009803334169023927,0.0,0.0,0.0,0.0,-0.0
0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.10240293190049068,-0.08373458498067926,-0.0,-0.0,-0.0,-0.26465054477138233,3.6714620875949304,-0.8302592962147332,-0.0,-0.0,0.0,-0.2934175518192158,-0.0,0.0,-0.0,-0.5172074012369131,0.0,-0.0,0.0,-0.0,-0.0,-0.10568834867852088,-0.0,-0.0,-0.06976647370162424,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.05111895576071032,-0.0,0.0,-0.03461018629284527,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.106404835844556,0.0,-0.0,-0.0,-0.12617509493661982,-0.7783808358261006,-0.12840636509882997,-0.4317615913503874,-0.13994949520225675,0.0664601440169314,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.24288668073979847,-0.0,-0.0,-0.0,-0.03108208484072155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0557103546569707,0.0,0.21594347739068476,-0.0,0.0,0.0,0.18629526723478987,0.2492712696894856,0.0,0.0,0.0,0.16783712328826303,0.0
-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.007017980641195206,-0.0,-0.0,-0.8302592962147332,4.631381698629003,0.0,-0.0,-0.0,-0.0,-0.0,-0.5598012357573792,0.0,-0.3900326756190468,-0.0,-0.0042461639405491775,0.0,0.0,0.0,-0.013226101214607466,-0.18438006961541473,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.005058893767500342,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.1187989921020035,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.007379992694128409,-0.0,-0.0,-0.33073428354096734,-2.4379124621208046,0.18041881041494523,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.07780597409679822,0.09099664567840564,0.0,0.0,0.0,0.0,0.06109704120349108,0.14859354987080223,0.0,-0.0,-0.0,-0.0,0.0,0.0982484090639423,0.0,0.0,0.0,0.0,0.09742661475335908
-0.3820328244637965,-0.6918542836116555,-0.11224946498483585,-0.0,-0.0,-0.0,-0.7311875545155664,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,3.5123359930371354,-0.0,-0.11616672493010131,-0.0,-0.4179082739064152,-0.0,-0.0,-0.012077383717004639,-0.1201997763248043,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.27251308572287086,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.12364939955580093,-0.20287046428954467,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.44437176663299854,-0.0034704045723584535,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.23775624647204463,0.0,0.0,-0.0,-0.19995107349676575,0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.15921880576335293,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.10498816768288496,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.04874578029833586,-0.0,-0.27088274989508226,-0.5727687933656376,-0.0,-0.0,-0.0,4.4934467163419765,-0.0,-1.2090994122565772,-0.0,-0.0,-0.39045977813516625,-0.0,-0.8418960990717902,-0.0,-0.06267400437892519,-0.0,-0.0,-0.22882685279708767,0.0,-0.12370957787679576,-0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.10496734320289884,-0.0,-0.0,-0.0,0.0,-0.0,-0.23720286944068644,-0.3627260350522633,-0.0,-0.6283193216375265,-0.0,0.0,-0.011124275933791127,-0.0,-0.0,-0.0,-0.01053928276148025,-0.0,-0.021888410295583985,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.11533759343782599,0.0,0.0,0.1288870892346596
0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.03030944223506262,0.0,-0.0,-0.11616672493010131,-0.0,3.2880988662162425,-0.27415827685065103,-0.5014648830338868,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.6576239987078385,-0.0,-0.12420552571298804,0.0,0.0,0.0,0.0,-0.018221379034917422,0.0,-0.0,0.0,0.0,-0.0,-0.3019276355363027,-0.0,-0.0,-0.0,-0.0,-0.0,-0.04258157029307783,-0.0,-0.0,-0.0,-0.10541230937245832,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.871357459076855,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.427508639460802,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.2029733402405176,0.0
0.0,-0.05248549511498416,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.2934175518192158,-0.0,-0.0,-1.2090994122565772,-0.27415827685065103,3.698266898495128,-0.0,-0.0,-0.0,-0.4162640342960814,-0.0,-0.0,-0.0,-0.0,-0.0,-0.7003823913312534,-0.0,-0.0,-0.0,0.0,-0.3844018497911823,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.004434582145165022,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.3495137962461886,-0.0,-0.023308912931473375,-0.0,0.0,-0.0,-0.14193329147920875,-0.0,-0.0,-0.015812824905785516,-0.0,0.23186361692227095,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.17041552832537235,0.011096501447865996,0.06288354274216354,0.0,0.0,0.0,0.0,0.0,0.16310332491658497
-0.051077179258016726,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.04955285948115468,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.4179082739064152,-0.0,-0.5014648830338868,-0.0,4.331355074907718,-0.055392341451446,-0.0,-0.0,-0.0,-0.0,0.0,-0.2930651939758391,-0.0,-0.3013693805595428,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.30225370121943274,-0.0,-0.0,-0.0,-0.0,-0.0,-0.024167333828609618,-0.0,-0.0,-0.0,-0.0,-0.0,-0.1997863666088772,-0.0,-0.06628551479006724,-0.1734423501258496,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.09955267079756935,-0.0,-0.0,-0.1203579995470426,-1.8194039240395827,-0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0353202619057647,-0.0,-0.0,0.0,0.17725159787572317,0.0,-0.0,-0.0,-0.0,-0.5475280046015761,-0.0,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
-0.0,-0.0,-0.0,0.0944346763833731,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.5598012357573792,-0.0,-0.0,-0.0,-0.0,-0.055392341451446,3.485727191004415,-0.0,-0.0,-0.5307756179594734,-0.013595083477493827,-0.0,-0.0,-0.0,-0.44779664656880247,-0.13275382306780395,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.08711791577742417,-0.0,0.0,0.0,-0.0,0.0,0.041644132361454075,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.4992900438405573,0.0,-0.0,-0.22459582560053817,-0.0,-0.9714049703074142,-0.0,-0.0,0.0,-0.09119352345691667,-0.0,-0.037645784612759865,-0.13751159926274728,0.0,-0.0,-0.0,0.0,0.0,0.06265093776910434,0.0,0.0,0.0,0.0,0.0,0.0,0.02455279316839068,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.01628442878373686
