0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
0.861812,0.736992,0.756505,0.795424,0.736861,0.900414,0.740974,0.794914,0.83741,0.843619,1.0,0.746076,0.749683,0.804792,0.741778,0.742878,0.851573,0.732009,0.794746,0.698047,0.782426,0.779403,0.849959,0.830908,0.877065,0.805879,0.79926,0.898525,0.848389,0.892649,0.785004,0.885264,0.73162,0.811831,0.731528,0.770082,0.860077,0.67401,0.837072,0.800245,0.7853,0.768417,0.849672,0.742544,0.857957,0.744706,0.777935,0.732925,0.799634,0.853499,0.86076,0.81164,0.819027,0.792431,0.744614,0.806905,0.804126,0.849941,0.825594,0.881348,0.828487,0.752377,0.861571,0.749987,0.672044,0.765098,0.817736,0.823556,0.747639,0.700945,0.792509,0.774564,0.7984808,0.78066,0.803858,0.876747,0.891665,0.843303,0.718702,0.827094,0.769302,0.796873,0.802632,0.732719,0.888793,0.853791,0.806541,0.881244,0.739628,0.864095,0.72841,0.780773,0.858333,0.84794,0.855362,0.842308,0.768632,0.773578,0.779515,0.843247
0.78953,0.719128,0.715423,0.746953,0.687867,0.775318,0.674482,0.697612,0.689096,0.752212,0.746076,1.0,0.817087,0.824939,0.731867,0.701368,0.728877,0.730525,0.629629,0.732843,0.755175,0.679293,0.760893,0.835593,0.75371,0.790271,0.708466,0.727958,0.754422,0.745672,0.60929,0.759073,0.828386,0.75184,0.712045,0.797629,0.80724,0.72375,0.684839,0.734786,0.739072,0.6734503,0.807245,0.648194,0.737035,0.674646,0.748134,0.740322,0.766277,0.779641,0.664874,0.704867,0.693122,0.7352962,0.6899,0.732495,0.711674,0.727148,0.772294,0.786454,0.768534,0.789,0.768077,0.798922,0.789184,0.791522,0.708751,0.851731,0.776733,0.645329,0.747966,0.698238,0.779462,0.662141,0.734942,0.756193,0.752766,0.783315,0.680141,0.728691,0.731732,0.674123,0.78242,0.753516,0.6748987,0.697954,0.722349,0.743259,0.743023,0.783759,0.64113,0.638467,0.758825,0.699382,0.675699,0.737621,0.75645,0.78556,0.713004,0.753776
0.71995,0.674592,0.716885,0.695477,0.687451,0.662271,0.6631,0.720001,0.757579,0.733742,0.749683,0.817087,1.0,0.811613,0.679319,0.736138,0.861683,0.6892684,0.732483,0.646637,0.740135,0.698987,0.746374,0.777092,0.715365,0.788486,0.729992,0.78087,0.6926701,0.762631,0.673184,0.733869,0.733224,0.721362,0.809631,0.741986,0.832382,0.688932,0.725504,0.786226,0.715449,0.708839,0.712865,0.617576,0.701974,0.586022,0.708564,0.6980397,0.704233,0.728862,0.738918,0.672195,0.75013,0.727482,0.649373,0.735824,0.743785,0.710648,0.703101,0.785217,0.733364,0.74287,0.868897,0.74208,0.732426,0.747473,0.763488,0.782366,0.77535,0.689332,0.7308526,0.648554,0.759091,0.654012,0.664397,0.775818,0.7720236,0.731431,0.68388,0.661441,0.730987,0.694374,0.7225825,0.6288593,0.675591,0.675405,0.843423,0.733507,0.690851,0.76187,0.604414,0.715933,0.709004,0.737795,0.64919,0.658734,0.695735,0.734674,0.633105,0.775129
0.775876,0.715967,0.744832,0.744779,0.677534,0.721286,0.719661,0.740297,0.680648,0.738504,0.804792,0.824939,0.811613,1.0,0.743395,0.759784,0.860775,0.778793,0.821571,0.688164,0.796977,0.730086,0.893415,0.803946,0.72707,0.808024,0.843344,0.869037,0.794514,0.873366,0.763621,0.809518,0.741517,0.783329,0.770372,0.740159,0.812927,0.6340228,0.818656,0.82152,0.759106,0.6441461,0.745634,0.701893,0.812645,0.708014,0.825423,0.791318,0.765658,0.759509,0.764042,0.731261,0.791304,0.765878,0.692731,0.742755,0.678607,0.718426,0.793991,0.852896,0.800486,0.750385,0.89972,0.861277,0.825257,0.865332,0.749688,0.906694,0.904437,0.690169,0.803536,0.668312,0.878814,0.6563662,0.723618,0.84724,0.875849,0.826656,0.711836,0.703823,0.747271,0.771577,0.776288,0.78058,0.747135,0.778308,0.784945,0.816246,0.671559,0.808847,0.690103,0.659084,0.722933,0.75668,0.690302,0.720541,0.782076,0.830726,0.615169,0.742018
0.736371,0.877311,0.861769,0.917806,0.840314,0.80643,0.815078,0.86741,0.8196972,0.813043,0.741778,0.731867,0.679319,0.743395,1.0,0.81404,0.815172,0.812528,0.823955,0.817434,0.827126,0.7802524,0.860372,0.744595,0.828446,0.809351,0.854905,0.7627517,0.844951,0.783426,0.716924,0.73033,0.753348,0.904676,0.6081699,0.850159,0.82788,0.761915,0.691634,0.815271,0.769427,0.741608,0.768533,0.727515,0.799051,0.724867,0.820735,0.900413,0.736492,0.834446,0.739413,0.779084,0.799853,0.883784,0.886439,0.821839,0.824266,0.807355,0.716791,0.773586,0.7002545,0.770908,0.700393,0.942497,0.904435,0.79664,0.847969,0.757828,0.804536,0.764385,0.782016,0.731473,0.852428,0.817352,0.709872,0.750765,0.8141964,0.862094,0.816282,0.842373,0.803906,0.729723,0.790859,0.797981,0.820781,0.757638,0.745518,0.784011,0.816361,0.843833,0.699402,0.782771,0.797456,0.859205,0.658427,0.798122,0.781343,0.7761,0.737819,0.789507
0.865876,0.906902,0.930455,0.753856,0.770991,0.793206,0.857498,0.76174,0.687358,0.755543,0.742878,0.701368,0.736138,0.759784,0.81404,1.0,0.841522,0.886091,0.778438,0.854956,0.899253,0.769174,0.688875,0.830687,0.768688,0.837927,0.716435,0.760862,0.801705,0.710375,0.730258,0.839453,0.865468,0.763987,0.659657,0.815794,0.777052,0.825478,0.726722,0.885675,0.769315,0.735678,0.651373,0.728121,0.803017,0.763773,0.7070061,0.754256,0.810245,0.87179,0.788687,0.882019,0.890903,0.717038,0.905332,0.901861,0.805995,0.6603932,0.795117,0.809393,0.760461,0.818698,0.655642,0.847411,0.80986,0.866371,0.857459,0.737272,0.840877,0.738278,0.85501,0.69058,0.843532,0.797989,0.762502,0.845112,0.815915,0.819329,0.876535,0.760438,0.749563,0.734069,0.813754,0.793202,0.721233,0.727217,0.723097,0.730772,0.846346,0.774559,0.663158,0.73776,0.715848,0.858267,0.691436,0.814196,0.733185,0.744017,0.805462,0.856262
0.763687,0.823168,0.826239,0.777884,0.7409,0.803373,0.870401,0.738643,0.803373,0.789636,0.851573,0.728877,0.861683,0.860775,0.815172,0.841522,1.0,0.803735,0.89535,0.729151,0.869427,0.826237,0.828613,0.835982,0.849544,0.89246,0.844807,0.885556,0.911859,0.853136,0.782309,0.871643,0.741592,0.904676,0.791682,0.803929,0.927057,0.69311,0.799793,0.853872,0.790906,0.770965,0.724055,0.701322,0.799567,0.658555,0.736066,0.819901,0.844699,0.867882,0.821426,0.794325,0.864811,0.754408,0.806146,0.847842,0.748661,0.747437,0.697738,0.835974,0.770782,0.775688,0.859795,0.829916,0.789819,0.770632,0.890369,0.783792,0.868573,0.785555,0.839525,0.741557,0.815857,0.845671,0.697646,0.859535,0.923019,0.816211,0.844368,0.830827,0.797015,0.824948,0.847562,0.763394,0.810837,0.767807,0.850629,0.773493,0.780877,0.894379,0.6896111,0.766227,0.847287,0.881547,0.751763,0.755698,0.676049,0.704212,0.757823,0.877133
0.819903,0.865706,0.939645,0.77532,0.766782,0.793386,0.824686,0.7465097,0.680272,0.756405,0.732009,0.730525,0.6892684,0.778793,0.812528,0.886091,0.803735,1.0,0.826497,0.939253,0.884017,0.888966,0.701711,0.810452,0.793518,0.776546,0.827018,0.720174,0.854259,0.662103,0.763605,0.849155,0.838238,0.785795,0.728838,0.845771,0.807281,0.876888,0.717304,0.804775,0.841318,0.742849,0.6819,0.77653,0.814396,0.718852,0.762938,0.79357,0.797579,0.898843,0.774434,0.805759,0.797049,0.739268,0.909693,0.898844,0.772275,0.722036,0.800321,0.826563,0.762555,0.755417,0.676146,0.845012,0.883391,0.83564,0.778434,0.779797,0.880119,0.876542,0.830899,0.6877581,0.796927,0.746698,0.725196,0.817278,0.831863,0.741917,0.820113,0.76182,0.78278,0.799633,0.801354,0.80755,0.678759,0.747663,0.73307,0.6504469,0.85504,0.78427,0.687349,0.727286,0.731864,0.818032,0.762746,0.77622,0.726512,0.714819,0.770041,0.84294
0.74787,0.804495,0.80716,0.779304,0.734104,0.742746,0.840097,0.732268,0.758761,0.746771,0.794746,0.629629,0.732483,0.821571,0.823955,0.778438,0.89535,0.826497,1.0,0.769843,0.859629,0.867162,0.762916,0.806036,0.808716,0.798847,0.850003,0.82752,0.880641,0.78434,0.81854,0.834209,0.69473,0.856611,0.809999,0.767101,0.83557,0.709033,0.81076,0.829585,0.804836,0.771871,0.658915,0.736468,0.776525,0.743151,0.681194,0.793248,0.801435,0.838159,0.836462,0.776688,0.840173,0.779898,0.807291,0.785573,0.717093,0.725773,0.661884,0.767626,0.699575,0.663862,0.777637,0.8034,0.745497,0.804189,0.839452,0.755848,0.872683,0.836518,0.846905,0.801925,0.786049,0.772805,0.716133,0.776688,0.882345,0.746192,0.843932,0.78586,0.779666,0.905376,0.818821,0.752455,0.748416,0.705916,0.816602,0.730089,0.772569,0.821885,0.780487,0.791643,0.795207,0.849278,0.763285,0.753802,0.691576,0.6191847,0.728426,0.818328
0.851227,0.909984,0.901794,0.779502,0.786438,0.755457,0.858402,0.774362,0.655641,0.771738,0.698047,0.732843,0.646637,0.688164,0.817434,0.854956,0.729151,0.939253,0.769843,1.0,0.881256,0.845624,0.700841,0.777537,0.758771,0.785567,0.805074,0.707449,0.848329,0.5814009,0.769463,0.805617,0.835305,0.777585,0.675963,0.799322,0.729184,0.841869,0.709409,0.76693,0.814806,0.744993,0.703389,0.774012,0.80768,0.759476,0.734356,0.781518,0.795432,0.865029,0.803815,0.85526,0.801066,0.7413915,0.899694,0.806823,0.804145,0.753375,0.80439,0.822577,0.775846,0.820953,0.631492,0.865367,0.838741,0.804716,0.786818,0.76327,0.803332,0.845542,0.837555,0.696476,0.781762,0.722238,0.752963,0.806933,0.817805,0.730668,0.836294,0.767352,0.766743,0.756557,0.806282,0.839673,0.698672,0.70641,0.725096,0.710495,0.8237,0.748032,0.736989,0.792673,0.765413,0.818624,0.712315,0.803986,0.742499,0.730728,0.775,0.846481
